Group ID,Record ID,First Name,FF,Last Name,LF,Reg No.,DoB,Race,First Name,Last Name,Reg No.,DoB,Race,type,Answer
12,A-121,CAROL,1,METCALF,1,1812263731,11/18/1953,W,CAROL,*******___,1812263731,**/**/****,*,12,0
12,A-122,CLYDE,1,METCALF JR,1,,11/18/1953,W,CLYDE,******* JR,,**/**/****,*,12,0
13,B-37,YOUNG,1,HAROLD,1,,07/27/1968,B,YOUNG,HAROLD,,**/**/****,*,13,1
13,A-38,HAROLD,1,YOUNG,1,9240772100,07/27/1968,B,HAROLD,YOUNG,9240772100,**/**/****,*,13,1
14,B-75,ZACHARY,1,FENDER,5,,12/05/1986,W,****ARY,******,,**/**/****,*,14,1
14,A-76,ZACH,1,FENDER,5,1333647463,12/05/1986,W,****___,******,1333647463,**/**/****,*,14,1
15,B-105,ALYSSA,2,AYERS,1,,10/20/1994,W,******,AYERS,,**/**/****,*,15,1
15,A-106,ALYSSA,2,JACKSON,1,1782393339,10/20/1994,W,******,JACKSON,1782393339,**/**/****,*,15,1
16,A-37,RICHARD,1,DEAN,2,1217495942,12/23/1935,W,RICHARD,****,****49***2,**/**/****,*,16,0
16,A-38,RUTH,1,DEAN,2,1217565943,12/23/1935,W,RUTH,****,****56***3,**/**/****,*,16,0
17,B-61,JAMES,4,NEILL,1,1504569701,09/18/1964,W,*****,NEILL,1504569701,**/**/****,*,17,0
17,B-62,JAMES,4,HAMMONDS,1,2086817325,09/18/1964,W,*****,HAMMONDS,2086817325,**/**/****,*,17,0
18,B-9,PUNCH,1,LINDA,1,1011823249,02/12/1971,W,PUNCH,LINDA,1011823249,02/12/1971,*,18,0
18,A-10,LINDA,1,PUNCH,1,1914905074,09/26/1956,W,LINDA,PUNCH,1914905074,09/26/1956,*,18,0
19,A-1,JAMES,4,FENDER,5,4611986039,12/06/1963,W,*****,******,4611986039,**/**/****,*,19,1
19,A-2,JAMES,4,FENDER,5,1815923778,12/06/1963,W,*****,******,1815923778,**/**/****,*,19,1
20,A-25,SILAS,2,WOODY,3,1710072392,12/20/1973,U,*****,****_*,1710072392,**/**/****,U,20,1
20,A-26,SILAS,2,WOODBY,1,1745052850,12/20/1973,W,*****,****B*,1745052850,**/**/****,W,20,1
21,A-23,BEVERLY,2,PETERSON,2,,02/22/1955,W,*******,********,,*2/22/****,*,21,0
21,A-24,BEVERLY,2,PETERSON,2,2023042649,04/07/1955,W,*******,********,2023042649,*4/07/****,*,21,0
22,A-889,WILLIAM,2,DAVIS JR,1,,05/04/1972,W,*******,***** JR,,05/04/1972,*,22,0
22,A-890,WILLIAM,2,DAVIS,1,3663464797,08/28/1945,W,*******,*****___,3663464797,08/28/1945,*,22,0
23,A-1,SHELLY,2,FENDER,5,1445228924,02/20/1965,W,******,FENDER,1445228924,**/**/****,*,23,1
23,A-2,SHELLY,2,RIDDLE,3,,02/20/1965,W,******,RIDDLE,,**/**/****,*,23,1
24,B-5,KAREN,2,GREENE,2,,,W,*****,******,,,*,24,1
24,A-6,KAREN,2,GREENE,2,7523209851,03/07/1962,W,*****,******,7523209851,03/07/1962,*,24,1
25,B-9,SARAH,2,SMITH,2,6087354238,12/29/1918,W,*****,*****,6087354238,**/**/**18,*,25,1
25,A-10,SARAH,2,SMITH,2,,12/29/1981,W,*****,*****,,**/**/**81,*,25,1
26,A-61,CHARLES,2,HUGHES,2,5609377345,07/17/1946,W,*******,******,5609377345,*7/17/****,*,26,0
26,A-62,CHARLES,2,HUGHES,2,5610147346,01/21/1946,W,*******,******,5610147346,*1/21/****,*,26,0
27,A-81,MAX,2,FOX,1,5439077122,08/15/1936,W,***,***___,5439077122,08/15/1936,*,27,0
27,A-82,MAX,2,FOX JR,1,5590287320,09/22/1971,W,***,*** JR,5590287320,09/22/1971,*,27,0
28,A-31,TONYA,2,HONEYCUTT,3,1231926131,12/16/1980,W,*****,HONEYCUTT,1231926131,**/**/****,*,28,1
28,A-32,TONYA,2,BOONE,1,1095454344,12/16/1980,W,*****,BOONE,1095454344,**/**/****,*,28,1
29,A-7,SONJA,2,RANDOLPH,2,3343474378,12/05/1949,W,*****,********,3343474378,12/05/****,*,29,1
29,A-8,SONJA,2,RANDOLPH,2,1418268571,05/12/1949,W,*****,********,1418268571,05/12/****,*,29,1
30,A-21,KIMBERLY,2,RATHBURN,1,7283409537,,W,********,RATHBURN,7283409537,,W,30,1
30,A-22,KIMBERLY,2,ZIMMERMAN,1,1847544192,09/24/1967,U,********,ZIMMERMAN,1847544192,09/24/1967,U,30,1
34,A-63,J,1,WOODY,3,2245272940,08/13/1929,W,*______,*****,**********,**/**/****,*,34,1
34,B-64,JUSTICE,1,WOODY,3,2245272940,08/13/1929,W,*USTICE,*****,**********,**/**/****,*,34,1
